ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b43b1,RGA04,2022-12-20T07:05:49Z,2022-12-20,2022-12-20T07:18:25Z,2022-12-20,LSGY,LSGL,4b43b1_2022-12-20 08:05:49
4b44a5,HBZZX,2022-12-20T07:54:48Z,2022-12-20,2022-12-20T08:11:24Z,2022-12-20,LSGT,LSGL,4b44a5_2022-12-20 08:54:48
461838,FSF804G,2022-12-20T08:40:37Z,2022-12-20,2022-12-20T09:41:37Z,2022-12-20,LSGL,LSGL,461838_2022-12-20 09:40:37
4b0f56,HBFVA,2022-12-20T09:06:05Z,2022-12-20,2022-12-20T13:13:19Z,2022-12-20,LGAV,LSGL,4b0f56_2022-12-20 10:06:05
391a38,HBOJI,2022-12-20T09:36:29Z,2022-12-20,2022-12-20T10:42:44Z,2022-12-20,LSGL,LSGL,391a38_2022-12-20 10:36:29
a669fc,N512MM,2022-12-20T09:41:28Z,2022-12-20,2022-12-20T10:19:58Z,2022-12-20,LSZM,LSGL,a669fc_2022-12-20 10:41:28
4b1b0c,HBKGI,2022-12-20T09:57:47Z,2022-12-20,2022-12-20T11:19:29Z,2022-12-20,LSZL,LSGL,4b1b0c_2022-12-20 10:57:47
461fbd,FSF522M,2022-12-20T10:43:11Z,2022-12-20,2022-12-20T11:49:13Z,2022-12-20,LFPB,LSGL,461fbd_2022-12-20 11:43:11
46208f,FSF530Y,2022-12-20T11:19:40Z,2022-12-20,2022-12-20T11:35:22Z,2022-12-20,LFHM,LSGL,46208f_2022-12-20 12:19:40
a669fc,N512MM,2022-12-20T11:29:41Z,2022-12-20,2022-12-20T12:30:19Z,2022-12-20,LSGL,LSGL,a669fc_2022-12-20 12:29:41
4b40e4,HBYOY,2022-12-20T12:04:48Z,2022-12-20,2022-12-20T12:45:50Z,2022-12-20,LSZG,LSGL,4b40e4_2022-12-20 13:04:48
4b1bfd,HBKPP,2022-12-20T12:12:35Z,2022-12-20,2022-12-20T15:19:13Z,2022-12-20,LEIB,LSGL,4b1bfd_2022-12-20 13:12:35
391a38,HBOJI,2022-12-20T14:51:00Z,2022-12-20,2022-12-20T15:37:41Z,2022-12-20,LSGL,LSGL,391a38_2022-12-20 15:51:00
4b43b1,RGA04,2022-12-20T22:01:07Z,2022-12-20,2022-12-20T22:12:08Z,2022-12-20,LSGY,LSGL,4b43b1_2022-12-20 23:01:07
