ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b28e3,HBPMP,2023-02-21T09:18:07Z,2023-02-21,2023-02-21T10:26:30Z,2023-02-21,LSGL,4b28e3_2023-02-21 10:18:07,LSGL
391a38,HBOJI,2023-02-21T09:25:11Z,2023-02-21,2023-02-21T10:24:51Z,2023-02-21,LSGL,391a38_2023-02-21 10:25:11,LSGL
4b07df,HBCZN,2023-02-21T11:18:40Z,2023-02-21,2023-02-21T11:32:43Z,2023-02-21,LSGL,4b07df_2023-02-21 12:18:40,LSGE
4b1bb7,HBKMX,2023-02-21T12:44:36Z,2023-02-21,2023-02-21T13:24:54Z,2023-02-21,LSGL,4b1bb7_2023-02-21 13:44:36,LSZB
4b3200,HBSYI,2023-02-21T12:55:44Z,2023-02-21,2023-02-21T13:36:48Z,2023-02-21,LSGL,4b3200_2023-02-21 13:55:44,LSGL
4b0878,HBDFK,2023-02-21T12:58:38Z,2023-02-21,2023-02-21T13:24:07Z,2023-02-21,LSGL,4b0878_2023-02-21 13:58:38,LSZQ
4b43b1,RGA04,2023-02-21T12:58:52Z,2023-02-21,2023-02-21T13:08:59Z,2023-02-21,LSGL,4b43b1_2023-02-21 13:58:52,LSTR
391a38,HBOJI,2023-02-21T13:05:52Z,2023-02-21,2023-02-21T13:34:37Z,2023-02-21,LSGL,391a38_2023-02-21 14:05:52,LSGB
4b3fda,HBYES,2023-02-21T15:13:06Z,2023-02-21,2023-02-21T16:21:20Z,2023-02-21,LSGL,4b3fda_2023-02-21 16:13:06,LSZG
4b43b1,RGA04,2023-02-21T16:23:20Z,2023-02-21,2023-02-21T16:35:19Z,2023-02-21,LSGL,4b43b1_2023-02-21 17:23:20,LSTO
4b2ef8,HBSDS,2023-02-21T16:33:53Z,2023-02-21,2023-02-21T17:03:01Z,2023-02-21,LSGL,4b2ef8_2023-02-21 17:33:53,LSGE
4b43b2,RGA18,2023-02-21T18:12:04Z,2023-02-21,2023-02-21T18:25:28Z,2023-02-21,LSGL,4b43b2_2023-02-21 19:12:04,LSGB
4b4271,HBZEF,2023-02-21T20:27:45Z,2023-02-21,2023-02-21T20:41:52Z,2023-02-21,LSGL,4b4271_2023-02-21 21:27:45,LSGB
4b43b1,RGA04,2023-02-21T22:39:03Z,2023-02-21,2023-02-21T22:40:46Z,2023-02-21,LSGL,4b43b1_2023-02-21 23:39:03,NA
