ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b43b1,RGA04,2023-03-15T06:56:07Z,2023-03-15,2023-03-15T07:15:42Z,2023-03-15,LSGL,4b43b1_2023-03-15 07:56:07,LSGC
461fbd,FSF133R,2023-03-15T08:24:47Z,2023-03-15,2023-03-15T08:58:12Z,2023-03-15,LSGL,461fbd_2023-03-15 09:24:47,LFLS
4b444f,HBZWP,2023-03-15T08:25:31Z,2023-03-15,2023-03-15T08:53:49Z,2023-03-15,LSGL,4b444f_2023-03-15 09:25:31,LSGB
391a38,HBOJI,2023-03-15T09:14:48Z,2023-03-15,2023-03-15T10:12:51Z,2023-03-15,LSGL,391a38_2023-03-15 10:14:48,LSGL
4b1bdd,HBKOJ,2023-03-15T10:39:25Z,2023-03-15,2023-03-15T11:11:45Z,2023-03-15,LSGL,4b1bdd_2023-03-15 11:39:25,LSZG
4d02dd,JFA62Q,2023-03-15T12:18:47Z,2023-03-15,2023-03-15T13:50:07Z,2023-03-15,LSGL,4d02dd_2023-03-15 13:18:47,LIRU
391a38,HBOJI,2023-03-15T13:02:40Z,2023-03-15,2023-03-15T14:22:14Z,2023-03-15,LSGL,391a38_2023-03-15 14:02:40,LSGL
46316e,FSF218P,2023-03-15T13:13:43Z,2023-03-15,2023-03-15T15:23:16Z,2023-03-15,LSGL,46316e_2023-03-15 14:13:43,EGTF
4b43b2,RGA18,2023-03-15T14:05:31Z,2023-03-15,2023-03-15T14:16:26Z,2023-03-15,LSGL,4b43b2_2023-03-15 15:05:31,LSGB
4b3a2b,HBWAT,2023-03-15T14:23:04Z,2023-03-15,2023-03-15T15:05:33Z,2023-03-15,LSGL,4b3a2b_2023-03-15 15:23:04,LSZU
391a38,HBOJI,2023-03-15T14:55:33Z,2023-03-15,2023-03-15T15:08:33Z,2023-03-15,LSGL,391a38_2023-03-15 15:55:33,LSGY
4b3200,HBSYI,2023-03-15T15:41:46Z,2023-03-15,2023-03-15T16:25:09Z,2023-03-15,LSGL,4b3200_2023-03-15 16:41:46,LSGL
4b43ce,RGA14,2023-03-15T20:24:59Z,2023-03-15,2023-03-15T20:29:05Z,2023-03-15,LSGL,4b43ce_2023-03-15 21:24:59,NA
