ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4627c1,FSF808F,2023-01-24T07:14:51Z,2023-01-24,2023-01-24T08:59:54Z,2023-01-24,LSGL,EDDP,4627c1_2023-01-24 08:14:51
391a38,HBOJI,2023-01-24T09:30:15Z,2023-01-24,2023-01-24T10:13:50Z,2023-01-24,LSGL,LSGL,391a38_2023-01-24 10:30:15
461838,FSF882W,2023-01-24T10:33:48Z,2023-01-24,2023-01-24T11:10:07Z,2023-01-24,LSGL,NA,461838_2023-01-24 11:33:48
4b28e3,HBPMP,2023-01-24T13:16:59Z,2023-01-24,2023-01-24T14:11:48Z,2023-01-24,LSGL,LSGL,4b28e3_2023-01-24 14:16:59
460812,FSF765V,2023-01-24T13:34:24Z,2023-01-24,2023-01-24T14:32:27Z,2023-01-24,LSGL,LFPB,460812_2023-01-24 14:34:24
391a38,HBOJI,2023-01-24T15:03:51Z,2023-01-24,2023-01-24T15:39:53Z,2023-01-24,LSGL,LSGL,391a38_2023-01-24 16:03:51
4b1bdd,HBKOJ,2023-01-24T15:39:22Z,2023-01-24,2023-01-24T15:59:08Z,2023-01-24,LSGL,LSGL,4b1bdd_2023-01-24 16:39:22
4b43b1,RGA04,2023-01-24T15:52:31Z,2023-01-24,2023-01-24T16:19:37Z,2023-01-24,LSGL,LSZJ,4b43b1_2023-01-24 16:52:31
4b4279,REGA15,2023-01-24T17:20:18Z,2023-01-24,2023-01-24T17:36:14Z,2023-01-24,LSGL,LSGG,4b4279_2023-01-24 18:20:18
4b43af,RGA18,2023-01-24T19:19:19Z,2023-01-24,2023-01-24T19:44:07Z,2023-01-24,LSGL,LSGB,4b43af_2023-01-24 20:19:19
