ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b4271,HBZEF,2023-01-14T01:06:55Z,2023-01-14,2023-01-14T01:20:29Z,2023-01-14,LSGL,4b4271_2023-01-14 02:06:55,NA
4b27c0,HBPBK,2023-01-14T08:47:10Z,2023-01-14,2023-01-14T09:21:14Z,2023-01-14,LSGL,4b27c0_2023-01-14 09:47:10,LSGL
4b4089,HBYLL,2023-01-14T09:40:38Z,2023-01-14,2023-01-14T10:47:48Z,2023-01-14,LSGL,4b4089_2023-01-14 10:40:38,LSZF
4b1bdd,HBKOJ,2023-01-14T10:06:40Z,2023-01-14,2023-01-14T10:24:06Z,2023-01-14,LSGL,4b1bdd_2023-01-14 11:06:40,LSGE
391a38,HBOJI,2023-01-14T10:39:09Z,2023-01-14,2023-01-14T11:08:27Z,2023-01-14,LSGL,391a38_2023-01-14 11:39:09,LSGE
4b2964,HBPRO,2023-01-14T11:09:10Z,2023-01-14,2023-01-14T11:34:29Z,2023-01-14,LSGL,4b2964_2023-01-14 12:09:10,LSZB
4b3200,HBSYI,2023-01-14T12:40:47Z,2023-01-14,2023-01-14T13:08:59Z,2023-01-14,LSGL,4b3200_2023-01-14 13:40:47,LSGL
461838,FSF844K,2023-01-14T13:08:10Z,2023-01-14,2023-01-14T14:48:18Z,2023-01-14,LSGL,461838_2023-01-14 14:08:10,EGTF
3d63c0,DFKAI,2023-01-14T14:43:00Z,2023-01-14,2023-01-14T15:48:45Z,2023-01-14,LSGL,3d63c0_2023-01-14 15:43:00,EDFC
4b43b2,RGA18,2023-01-14T18:30:17Z,2023-01-14,2023-01-14T18:49:19Z,2023-01-14,LSGL,4b43b2_2023-01-14 19:30:17,NA
