ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b2ef8,HBSDS,2022-10-11T06:00:51Z,2022-10-11,2022-10-11T06:13:58Z,2022-10-11,LSGL,4b2ef8_2022-10-11 08:00:51,LSGE
4b28e3,HBPMP,2022-10-11T07:27:04Z,2022-10-11,2022-10-11T07:38:10Z,2022-10-11,LSGL,4b28e3_2022-10-11 09:27:04,LSGK
4b1bdd,HBKOJ,2022-10-11T07:42:22Z,2022-10-11,2022-10-11T08:29:01Z,2022-10-11,LSGL,4b1bdd_2022-10-11 09:42:22,LSGL
4b3200,HBSYI,2022-10-11T08:13:13Z,2022-10-11,2022-10-11T08:35:50Z,2022-10-11,LSGL,4b3200_2022-10-11 10:13:13,LSGL
4b1b54,HBKJC,2022-10-11T08:16:27Z,2022-10-11,2022-10-11T08:59:02Z,2022-10-11,LSGL,4b1b54_2022-10-11 10:16:27,LSGL
46316e,FSF776P,2022-10-11T12:05:14Z,2022-10-11,2022-10-11T12:17:15Z,2022-10-11,LSGL,46316e_2022-10-11 14:05:14,LSGL
4b43b2,HBZQO,2022-10-11T12:06:18Z,2022-10-11,2022-10-11T13:21:04Z,2022-10-11,LSGL,4b43b2_2022-10-11 14:06:18,LSZG
4b43ad,RGA04,2022-10-11T12:25:15Z,2022-10-11,2022-10-11T12:37:26Z,2022-10-11,LSGL,4b43ad_2022-10-11 14:25:15,LSGP
391a38,HBOJI,2022-10-11T13:10:08Z,2022-10-11,2022-10-11T14:13:41Z,2022-10-11,LSGL,391a38_2022-10-11 15:10:08,LSGL
46316e,FSF776P,2022-10-11T13:19:45Z,2022-10-11,2022-10-11T13:49:39Z,2022-10-11,LSGL,46316e_2022-10-11 15:19:45,LSGL
4b1fa1,HBLZL,2022-10-11T14:35:03Z,2022-10-11,2022-10-11T15:17:09Z,2022-10-11,LSGL,4b1fa1_2022-10-11 16:35:03,LSZL
461838,FSF218M,2022-10-11T15:00:24Z,2022-10-11,2022-10-11T16:43:13Z,2022-10-11,LSGL,461838_2022-10-11 17:00:24,EGKB
461981,FSF512N,2022-10-11T15:42:24Z,2022-10-11,2022-10-11T16:24:16Z,2022-10-11,LSGL,461981_2022-10-11 17:42:24,LFLC
