ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b28e3,HBPMP,2023-01-10T09:12:09Z,2023-01-10,2023-01-10T09:29:45Z,2023-01-10,LSGL,4b28e3_2023-01-10 10:12:09,LSGL
4d02b5,JFA66C,2023-01-10T09:25:13Z,2023-01-10,2023-01-10T10:01:12Z,2023-01-10,LSGL,4d02b5_2023-01-10 10:25:13,LFMH
4b1bdd,HBKOJ,2023-01-10T09:51:45Z,2023-01-10,2023-01-10T10:06:22Z,2023-01-10,LSGL,4b1bdd_2023-01-10 10:51:45,LSGL
4b443c,HBZVW,2023-01-10T10:37:05Z,2023-01-10,2023-01-10T11:39:11Z,2023-01-10,LSGL,4b443c_2023-01-10 11:37:05,LSMF
461838,OHJEM,2023-01-10T10:58:50Z,2023-01-10,2023-01-10T11:26:36Z,2023-01-10,LSGL,461838_2023-01-10 11:58:50,LSGL
391a38,HBOJI,2023-01-10T12:28:57Z,2023-01-10,2023-01-10T13:37:43Z,2023-01-10,LSGL,391a38_2023-01-10 13:28:57,LSGL
4b3f65,HBYAF,2023-01-10T12:56:57Z,2023-01-10,2023-01-10T13:40:56Z,2023-01-10,LSGL,4b3f65_2023-01-10 13:56:57,LSZF
4b3200,HBSYI,2023-01-10T13:07:13Z,2023-01-10,2023-01-10T13:26:15Z,2023-01-10,LSGL,4b3200_2023-01-10 14:07:13,LSGL
391a38,HBOJI,2023-01-10T15:02:47Z,2023-01-10,2023-01-10T15:53:42Z,2023-01-10,LSGL,391a38_2023-01-10 16:02:47,LSGL
4b43b2,RGA18,2023-01-10T15:08:09Z,2023-01-10,2023-01-10T15:18:45Z,2023-01-10,LSGL,4b43b2_2023-01-10 16:08:09,LSGB
4b3200,HBSYI,2023-01-10T15:32:23Z,2023-01-10,2023-01-10T15:52:35Z,2023-01-10,LSGL,4b3200_2023-01-10 16:32:23,LSGL
4b43b1,RGA04,2023-01-10T21:50:45Z,2023-01-10,2023-01-10T22:12:46Z,2023-01-10,LSGL,4b43b1_2023-01-10 22:50:45,NA
