ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b43b1,RGA04,2023-01-21T01:49:31Z,2023-01-21,2023-01-21T01:59:43Z,2023-01-21,LSGL,4b43b1_2023-01-21 02:49:31,LSGB
4b28e3,HBPMP,2023-01-21T09:38:19Z,2023-01-21,2023-01-21T09:55:42Z,2023-01-21,LSGL,4b28e3_2023-01-21 10:38:19,LSGL
a63552,N5AV,2023-01-21T09:50:41Z,2023-01-21,2023-01-21T11:00:45Z,2023-01-21,LSGL,a63552_2023-01-21 10:50:41,LFPN
4b1f30,HBLVC,2023-01-21T10:37:40Z,2023-01-21,2023-01-21T11:27:38Z,2023-01-21,LSGL,4b1f30_2023-01-21 11:37:40,LSZB
4b28e3,HBPMP,2023-01-21T10:46:23Z,2023-01-21,2023-01-21T11:34:27Z,2023-01-21,LSGL,4b28e3_2023-01-21 11:46:23,LSGL
461852,FSF7JM,2023-01-21T10:46:27Z,2023-01-21,2023-01-21T11:25:18Z,2023-01-21,LSGL,461852_2023-01-21 11:46:27,LIML
4b1bdd,HBKOJ,2023-01-21T10:48:03Z,2023-01-21,2023-01-21T11:43:01Z,2023-01-21,LSGL,4b1bdd_2023-01-21 11:48:03,LSGL
4627c1,FSF388P,2023-01-21T11:57:15Z,2023-01-21,2023-01-21T13:08:26Z,2023-01-21,LSGL,4627c1_2023-01-21 12:57:15,LFPB
ac3c43,N888HG,2023-01-21T12:40:21Z,2023-01-21,2023-01-21T13:18:26Z,2023-01-21,LSGL,ac3c43_2023-01-21 13:40:21,EDTG
4627c1,FSF388P,2023-01-21T15:00:30Z,2023-01-21,2023-01-21T15:31:44Z,2023-01-21,LSGL,4627c1_2023-01-21 16:00:30,NA
