ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b4271,HBZEF,2023-04-16T22:53:15Z,2023-04-17,2023-04-16T23:09:43Z,2023-04-17,LSGL,4b4271_2023-04-17 00:53:15,LSGB
4b1af2,HBKFI,2023-04-17T06:48:55Z,2023-04-17,2023-04-17T07:41:21Z,2023-04-17,LSGL,4b1af2_2023-04-17 08:48:55,LSGL
460861,FSF306Y,2023-04-17T08:16:17Z,2023-04-17,2023-04-17T09:18:29Z,2023-04-17,LSGL,460861_2023-04-17 10:16:17,LFPB
391a38,HBOJI,2023-04-17T08:41:06Z,2023-04-17,2023-04-17T09:44:15Z,2023-04-17,LSGL,391a38_2023-04-17 10:41:06,LSGL
4b27bf,HBPBJ,2023-04-17T08:43:36Z,2023-04-17,2023-04-17T09:15:58Z,2023-04-17,LSGL,4b27bf_2023-04-17 10:43:36,LSGG
46208f,FSF549E,2023-04-17T09:23:46Z,2023-04-17,2023-04-17T10:52:50Z,2023-04-17,LSGL,46208f_2023-04-17 11:23:46,LIRZ
460cb6,FSF885V,2023-04-17T11:50:27Z,2023-04-17,2023-04-17T12:25:09Z,2023-04-17,LSGL,460cb6_2023-04-17 13:50:27,NA
391a38,HBOJI,2023-04-17T12:55:13Z,2023-04-17,2023-04-17T13:24:27Z,2023-04-17,LSGL,391a38_2023-04-17 14:55:13,LSGB
4b1b54,HBKJC,2023-04-17T15:34:42Z,2023-04-17,2023-04-17T15:56:26Z,2023-04-17,LSGL,4b1b54_2023-04-17 17:34:42,LSGB
4b1af2,HBKFI,2023-04-17T15:53:10Z,2023-04-17,2023-04-17T16:34:21Z,2023-04-17,LSGL,4b1af2_2023-04-17 17:53:10,LSGL
4b1af2,HBKFI,2023-04-17T15:53:24Z,2023-04-17,2023-04-17T16:34:38Z,2023-04-17,LSGL,4b1af2_2023-04-17 17:53:24,NA
