ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b43b1,RGA04,2023-02-15T03:57:49Z,2023-02-15,2023-02-15T04:08:57Z,2023-02-15,LSGL,4b43b1_2023-02-15 04:57:49,LSGT
4b0fc0,HBFZC,2023-02-15T07:12:39Z,2023-02-15,2023-02-15T07:55:36Z,2023-02-15,LSGL,4b0fc0_2023-02-15 08:12:39,LSZA
4b1bdd,HBKOJ,2023-02-15T07:56:46Z,2023-02-15,2023-02-15T08:39:14Z,2023-02-15,LSGL,4b1bdd_2023-02-15 08:56:46,LSGL
4b28e3,HBPMP,2023-02-15T08:41:55Z,2023-02-15,2023-02-15T10:05:58Z,2023-02-15,LSGL,4b28e3_2023-02-15 09:41:55,LSGL
4b4279,REGA15,2023-02-15T11:08:23Z,2023-02-15,2023-02-15T11:23:19Z,2023-02-15,LSGL,4b4279_2023-02-15 12:08:23,LSGG
4b4db1,HB2314,2023-02-15T11:22:00Z,2023-02-15,2023-02-15T14:10:26Z,2023-02-15,LSGL,4b4db1_2023-02-15 12:22:00,LSZL
46316e,FSF792T,2023-02-15T11:36:17Z,2023-02-15,2023-02-15T12:40:43Z,2023-02-15,LSGL,46316e_2023-02-15 12:36:17,LFPB
391a38,HBOJI,2023-02-15T13:06:43Z,2023-02-15,2023-02-15T13:35:54Z,2023-02-15,LSGL,391a38_2023-02-15 14:06:43,LSGK
4b28e3,HBPMP,2023-02-15T13:14:19Z,2023-02-15,2023-02-15T14:39:19Z,2023-02-15,LSGL,4b28e3_2023-02-15 14:14:19,LSGL
4b1bfd,HBKPP,2023-02-15T13:20:28Z,2023-02-15,2023-02-15T13:33:52Z,2023-02-15,LSGL,4b1bfd_2023-02-15 14:20:28,LSGC
4627c1,FSF303J,2023-02-15T13:38:50Z,2023-02-15,2023-02-15T13:57:29Z,2023-02-15,LSGL,4627c1_2023-02-15 14:38:50,LFKY
4b1bdd,HBKOJ,2023-02-15T15:19:34Z,2023-02-15,2023-02-15T16:15:46Z,2023-02-15,LSGL,4b1bdd_2023-02-15 16:19:34,LSGL
4d02de,JFA13W,2023-02-15T16:08:03Z,2023-02-15,2023-02-15T16:20:41Z,2023-02-15,LSGL,4d02de_2023-02-15 17:08:03,LSGG
4b43b1,RGA04,2023-02-15T17:01:10Z,2023-02-15,2023-02-15T17:14:14Z,2023-02-15,LSGL,4b43b1_2023-02-15 18:01:10,LSGB
4b43b2,RGA18,2023-02-15T19:32:06Z,2023-02-15,2023-02-15T19:54:11Z,2023-02-15,LSGL,4b43b2_2023-02-15 20:32:06,LSGB
4b43b2,RGA18,2023-02-15T19:32:24Z,2023-02-15,2023-02-15T19:54:17Z,2023-02-15,LSGL,4b43b2_2023-02-15 20:32:24,NA
