ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b4414,HBZUI,2022-11-10T07:39:26Z,2022-11-10,2022-11-10T08:02:19Z,2022-11-10,LSGL,4b4414_2022-11-10 08:39:26,LSGB
4b1bfd,HBKPP,2022-11-10T08:00:28Z,2022-11-10,2022-11-10T08:51:20Z,2022-11-10,LSGL,4b1bfd_2022-11-10 09:00:28,LSZS
391a38,HBOJI,2022-11-10T09:40:15Z,2022-11-10,2022-11-10T10:17:57Z,2022-11-10,LSGL,391a38_2022-11-10 10:40:15,LSGL
4b1af2,HBKFI,2022-11-10T10:22:05Z,2022-11-10,2022-11-10T10:51:59Z,2022-11-10,LSGL,4b1af2_2022-11-10 11:22:05,LSGL
461108,FSF270T,2022-11-10T10:29:03Z,2022-11-10,2022-11-10T11:22:35Z,2022-11-10,LSGL,461108_2022-11-10 11:29:03,LFMQ
4b447c,HBZYI,2022-11-10T10:29:31Z,2022-11-10,2022-11-10T11:28:18Z,2022-11-10,LSGL,4b447c_2022-11-10 11:29:31,LSZO
4b3200,HBSYI,2022-11-10T10:57:26Z,2022-11-10,2022-11-10T11:17:52Z,2022-11-10,LSGL,4b3200_2022-11-10 11:57:26,LSGL
4b1af2,HBKFI,2022-11-10T11:02:54Z,2022-11-10,2022-11-10T11:41:59Z,2022-11-10,LSGL,4b1af2_2022-11-10 12:02:54,LSGL
4b1bdd,HBKOJ,2022-11-10T11:25:58Z,2022-11-10,2022-11-10T12:03:12Z,2022-11-10,LSGL,4b1bdd_2022-11-10 12:25:58,LSGL
4b1af2,HBKFI,2022-11-10T13:02:21Z,2022-11-10,2022-11-10T13:48:18Z,2022-11-10,LSGL,4b1af2_2022-11-10 14:02:21,LSGL
4b43ad,RGA04,2022-11-10T13:49:05Z,2022-11-10,2022-11-10T14:04:23Z,2022-11-10,LSGL,4b43ad_2022-11-10 14:49:05,LSGC
4b43ad,RGA04,2022-11-10T17:02:49Z,2022-11-10,2022-11-10T17:33:43Z,2022-11-10,LSGL,4b43ad_2022-11-10 18:02:49,LSGL
4b43ad,RGA04,2022-11-10T19:03:37Z,2022-11-10,2022-11-10T19:11:59Z,2022-11-10,LSGL,4b43ad_2022-11-10 20:03:37,NA
