ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b43e1,LAS7,2023-04-08T04:35:56Z,2023-04-08,2023-04-08T04:55:56Z,2023-04-08,LSGL,4b43e1_2023-04-08 06:35:56,LSZB
391a38,HBOJI,2023-04-08T07:37:16Z,2023-04-08,2023-04-08T07:53:19Z,2023-04-08,LSGL,391a38_2023-04-08 09:37:16,LSGL
4b3200,HBSYI,2023-04-08T07:49:41Z,2023-04-08,2023-04-08T08:25:50Z,2023-04-08,LSGL,4b3200_2023-04-08 09:49:41,LSGL
4b28e3,HBPMP,2023-04-08T08:28:17Z,2023-04-08,2023-04-08T09:59:50Z,2023-04-08,LSGL,4b28e3_2023-04-08 10:28:17,LSGL
4b3200,HBSYI,2023-04-08T09:13:30Z,2023-04-08,2023-04-08T09:30:48Z,2023-04-08,LSGL,4b3200_2023-04-08 11:13:30,LSGL
4b1af2,HBKFI,2023-04-08T09:18:39Z,2023-04-08,2023-04-08T09:50:52Z,2023-04-08,LSGL,4b1af2_2023-04-08 11:18:39,LSZB
391a38,HBOJI,2023-04-08T10:14:44Z,2023-04-08,2023-04-08T10:41:23Z,2023-04-08,LSGL,391a38_2023-04-08 12:14:44,LSGE
4b3200,HBSYI,2023-04-08T10:24:39Z,2023-04-08,2023-04-08T10:51:43Z,2023-04-08,LSGL,4b3200_2023-04-08 12:24:39,LSGL
400c04,GKENZ,2023-04-08T10:25:43Z,2023-04-08,2023-04-08T13:27:01Z,2023-04-08,LSGL,400c04_2023-04-08 12:25:43,EGJB
4b1b13,HBKGP,2023-04-08T11:34:35Z,2023-04-08,2023-04-08T12:29:29Z,2023-04-08,LSGL,4b1b13_2023-04-08 13:34:35,LSZB
4b28e3,HBPMP,2023-04-08T11:44:34Z,2023-04-08,2023-04-08T12:15:36Z,2023-04-08,LSGL,4b28e3_2023-04-08 13:44:34,LSGL
4b1bdd,HBKOJ,2023-04-08T11:51:08Z,2023-04-08,2023-04-08T12:59:52Z,2023-04-08,LSGL,4b1bdd_2023-04-08 13:51:08,LSGL
4b3200,HBSYI,2023-04-08T12:04:37Z,2023-04-08,2023-04-08T12:32:01Z,2023-04-08,LSGL,4b3200_2023-04-08 14:04:37,LSGL
461fbd,FSF214N,2023-04-08T12:55:48Z,2023-04-08,2023-04-08T13:16:53Z,2023-04-08,LSGL,461fbd_2023-04-08 14:55:48,LFGJ
391a38,HBOJI,2023-04-08T13:09:48Z,2023-04-08,2023-04-08T13:32:24Z,2023-04-08,LSGL,391a38_2023-04-08 15:09:48,LSGL
4b1af2,HBKFI,2023-04-08T13:16:44Z,2023-04-08,2023-04-08T13:37:38Z,2023-04-08,LSGL,4b1af2_2023-04-08 15:16:44,NA
