ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b2c60,HBQUY,2022-10-31T07:05:19Z,2022-10-31,2022-10-31T07:51:43Z,2022-10-31,LSGL,4b2c60_2022-10-31 08:05:19,LSGY
4b1fa1,HBLZL,2022-10-31T08:17:38Z,2022-10-31,2022-10-31T10:36:27Z,2022-10-31,LSGL,4b1fa1_2022-10-31 09:17:38,LSGL
46316e,FSF193R,2022-10-31T08:23:59Z,2022-10-31,2022-10-31T09:25:36Z,2022-10-31,LSGL,46316e_2022-10-31 09:23:59,LFTZ
4b1af2,HBKFI,2022-10-31T09:53:23Z,2022-10-31,2022-10-31T10:12:56Z,2022-10-31,LSGL,4b1af2_2022-10-31 10:53:23,LSGC
4627c1,OHPBL,2022-10-31T10:31:15Z,2022-10-31,2022-10-31T10:52:35Z,2022-10-31,LSGL,4627c1_2022-10-31 11:31:15,LFEV
46316e,FSF148V,2022-10-31T11:45:33Z,2022-10-31,2022-10-31T11:56:52Z,2022-10-31,LSGL,46316e_2022-10-31 12:45:33,LSGG
4b1fa1,HBLZL,2022-10-31T12:41:38Z,2022-10-31,2022-10-31T13:38:24Z,2022-10-31,LSGL,4b1fa1_2022-10-31 13:41:38,LSGL
4b1fa1,HBLZL,2022-10-31T14:07:30Z,2022-10-31,2022-10-31T14:43:16Z,2022-10-31,LSGL,4b1fa1_2022-10-31 15:07:30,LSGL
4b1bdd,HBKOJ,2022-10-31T14:12:41Z,2022-10-31,2022-10-31T14:39:46Z,2022-10-31,LSGL,4b1bdd_2022-10-31 15:12:41,LSZB
4b3273,HBTCT,2022-10-31T15:54:50Z,2022-10-31,2022-10-31T16:38:08Z,2022-10-31,LSGL,4b3273_2022-10-31 16:54:50,LSZG
4b1af2,HBKFI,2022-10-31T16:40:42Z,2022-10-31,2022-10-31T18:52:42Z,2022-10-31,LSGL,4b1af2_2022-10-31 17:40:42,LSGG
4b43ad,RGA04,2022-10-31T17:00:41Z,2022-10-31,2022-10-31T17:31:14Z,2022-10-31,LSGL,4b43ad_2022-10-31 18:00:41,LSGL
4b43ad,RGA04,2022-10-31T19:23:27Z,2022-10-31,2022-10-31T19:23:50Z,2022-10-31,LSGL,4b43ad_2022-10-31 20:23:27,NA
